id,graduatingYear,overallScore,curriculum,jobSupport,school_id
297896,2023,5.0,5.0,5.0,11035
297842,2023,4.0,4.0,4.0,11035
297838,2023,4.0,4.0,4.0,11035
297677,2023,4.3,4.0,4.0,11035
297676,2023,5.0,5.0,5.0,11035
297553,2023,3.7,4.0,3.0,11035
297548,2023,4.7,4.0,5.0,11035
297478,2023,5.0,5.0,5.0,11035
297476,2023,5.0,5.0,5.0,11035
297475,2023,4.7,5.0,4.0,11035
297447,2023,4.0,3.0,5.0,11035
297377,2023,5.0,5.0,5.0,11035
297146,2023,5.0,5.0,5.0,11035
297033,2023,4.0,5.0,3.0,11035
297022,2023,5.0,5.0,5.0,11035
296916,2023,5.0,5.0,5.0,11035
296890,2023,5.0,5.0,5.0,11035
296866,2023,5.0,5.0,5.0,11035
296843,2023,4.0,4.0,4.0,11035
296787,2023,4.7,5.0,5.0,11035
296679,2022,4.7,5.0,4.0,11035
296597,2023,4.7,4.0,5.0,11035
296592,2022,4.0,4.0,4.0,11035
296565,2023,5.0,5.0,5.0,11035
296476,2023,4.3,4.0,5.0,11035
296421,2023,4.3,4.0,4.0,11035
296412,2023,5.0,5.0,5.0,11035
296276,2022,4.7,5.0,5.0,11035
296230,2022,5.0,5.0,5.0,11035
296210,2022,4.0,4.0,4.0,11035
296179,2022,5.0,5.0,5.0,11035
295928,2022,5.0,5.0,5.0,11035
295893,2022,5.0,5.0,5.0,11035
295774,2022,4.3,5.0,3.0,11035
295673,2022,4.3,5.0,4.0,11035
295636,2022,5.0,5.0,5.0,11035
295513,2022,5.0,5.0,5.0,11035
295511,2022,5.0,5.0,5.0,11035
295452,2022,5.0,5.0,5.0,11035
295409,2022,5.0,5.0,5.0,11035
295367,2022,4.0,4.0,4.0,11035
295320,2022,5.0,5.0,5.0,11035
295254,2022,4.3,5.0,4.0,11035
295244,2022,3.7,4.0,4.0,11035
295221,2022,5.0,5.0,5.0,11035
294921,2022,4.7,4.0,5.0,11035
294914,2022,5.0,5.0,5.0,11035
294865,2012,4.3,4.0,5.0,11035
294815,2022,5.0,5.0,5.0,11035
294798,2022,4.7,5.0,4.0,11035
294776,2022,4.3,4.0,5.0,11035
294749,2022,4.7,4.0,5.0,11035
294525,2022,5.0,5.0,5.0,11035
294506,2022,4.0,4.0,4.0,11035
294483,2022,5.0,5.0,5.0,11035
294407,2022,4.7,5.0,5.0,11035
294279,2022,4.7,5.0,5.0,11035
294270,2022,5.0,5.0,5.0,11035
294262,2022,5.0,5.0,5.0,11035
294257,2022,4.0,4.0,4.0,11035
294213,2022,4.0,3.0,5.0,11035
293971,2022,5.0,5.0,5.0,11035
293890,2022,5.0,5.0,5.0,11035
293887,2022,5.0,5.0,5.0,11035
293871,2022,5.0,5.0,5.0,11035
293851,2022,5.0,5.0,5.0,11035
293848,2022,4.7,5.0,4.0,11035
293814,2022,5.0,5.0,5.0,11035
293699,2022,5.0,5.0,5.0,11035
293688,2022,5.0,5.0,5.0,11035
293679,2022,4.7,4.0,5.0,11035
293561,2022,5.0,5.0,5.0,11035
